measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2012,7.073072375,7.45451147,6.718958181
1,Deaths,102,United States of America,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2012,5.835714253,6.209434668,5.482084255
1,Deaths,102,United States of America,1,Male,22,All ages,1008,Eye cancer,1,Number,2012,200.5940269,210.9670191,186.4435826
1,Deaths,102,United States of America,2,Female,22,All ages,1008,Eye cancer,1,Number,2012,173.0527877,186.6538628,154.2534473
1,Deaths,102,United States of America,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2017,2.677109635,2.844826232,2.504476484
1,Deaths,102,United States of America,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2017,2.823733539,2.971295306,2.674546695
1,Deaths,102,United States of America,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2017,4.398310423,4.652415918,4.173848145
1,Deaths,102,United States of America,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2017,3.543867242,3.753952288,3.370158636
1,Deaths,102,United States of America,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2017,6.902601878,7.270252988,6.551803986
1,Deaths,102,United States of America,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2017,5.840662699,6.238087697,5.471520645
1,Deaths,102,United States of America,1,Male,22,All ages,1008,Eye cancer,1,Number,2017,232.1360043,244.4837878,215.307476
1,Deaths,102,United States of America,2,Female,22,All ages,1008,Eye cancer,1,Number,2017,202.0361612,217.7783278,177.5218059
1,Deaths,102,United States of America,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2014,2.224035659,2.381664636,2.083026661
1,Deaths,102,United States of America,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2014,2.333233922,2.497943082,2.198936335
1,Deaths,102,United States of America,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2014,4.365312955,4.69816157,4.063760815
1,Deaths,102,United States of America,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2014,3.617999157,3.863857547,3.435570828
1,Deaths,102,United States of America,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2014,6.766389041,7.21515508,6.359751906
1,Deaths,102,United States of America,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2014,5.720736678,6.090211047,5.348331246
1,Deaths,102,United States of America,1,Male,22,All ages,1008,Eye cancer,1,Number,2014,216.5928056,228.9888109,200.0376628
1,Deaths,102,United States of America,2,Female,22,All ages,1008,Eye cancer,1,Number,2014,185.3329215,200.2422996,164.5660711
1,Deaths,102,United States of America,1,Male,12,35-39 years,417,Liver cancer,1,Number,2013,64.9119997,67.10660598,62.51022498
1,Deaths,102,United States of America,2,Female,12,35-39 years,417,Liver cancer,1,Number,2013,31.38670735,32.43931271,30.48232634
1,Deaths,102,United States of America,1,Male,13,40-44 years,417,Liver cancer,1,Number,2013,137.6387043,142.3767657,132.8614163
1,Deaths,102,United States of America,2,Female,13,40-44 years,417,Liver cancer,1,Number,2013,70.46620129,72.7765103,68.15237617
1,Deaths,102,United States of America,1,Male,14,45-49 years,417,Liver cancer,1,Number,2013,363.9528515,377.1911697,349.8664197
1,Deaths,102,United States of America,2,Female,14,45-49 years,417,Liver cancer,1,Number,2013,149.3866859,153.4214877,144.6096211
1,Deaths,102,United States of America,1,Male,22,All ages,417,Liver cancer,1,Number,2013,12302.83908,12647.16666,11699.66739
1,Deaths,102,United States of America,2,Female,22,All ages,417,Liver cancer,1,Number,2013,6151.811939,6488.415489,5486.288235
1,Deaths,102,United States of America,1,Male,12,35-39 years,429,Breast cancer,1,Number,2013,4.300987998,4.473543991,4.134138588
1,Deaths,102,United States of America,2,Female,12,35-39 years,429,Breast cancer,1,Number,2013,717.1533272,743.3422143,694.458272
1,Deaths,102,United States of America,1,Male,13,40-44 years,429,Breast cancer,1,Number,2013,7.156174361,7.457765235,6.858770786
1,Deaths,102,United States of America,2,Female,13,40-44 years,429,Breast cancer,1,Number,2013,1454.653095,1509.757936,1401.450727
1,Deaths,102,United States of America,1,Male,14,45-49 years,429,Breast cancer,1,Number,2013,20.17001461,21.02141347,19.4168659
1,Deaths,102,United States of America,2,Female,14,45-49 years,429,Breast cancer,1,Number,2013,2423.540302,2521.317441,2335.380059
1,Deaths,102,United States of America,1,Male,22,All ages,429,Breast cancer,1,Number,2013,536.300571,557.1987462,503.8561381
1,Deaths,102,United States of America,2,Female,22,All ages,429,Breast cancer,1,Number,2013,49030.9092,51544.38531,44487.82673
1,Deaths,163,India,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2016,5.158021066,8.083126564,2.111843761
1,Deaths,163,India,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2016,2.894593644,3.993099775,1.793269317
1,Deaths,163,India,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2016,12.02458818,18.38011302,5.418604881
1,Deaths,163,India,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2016,6.125131345,8.689920937,3.776911913
1,Deaths,163,India,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2016,13.97808639,21.16449974,6.035129028
1,Deaths,163,India,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2016,6.878327463,9.511888032,3.801802886
1,Deaths,163,India,1,Male,22,All ages,1008,Eye cancer,1,Number,2016,454.5770921,640.8532053,257.3942351
1,Deaths,163,India,2,Female,22,All ages,1008,Eye cancer,1,Number,2016,338.6776427,486.5460833,201.9921474
1,Deaths,102,United States of America,1,Male,12,35-39 years,477,Brain and central nervous system cancer,1,Number,2013,233.6484667,241.6656628,226.0762823
1,Deaths,102,United States of America,2,Female,12,35-39 years,477,Brain and central nervous system cancer,1,Number,2013,156.8515768,161.4455251,152.3300742
1,Deaths,102,United States of America,1,Male,13,40-44 years,477,Brain and central nervous system cancer,1,Number,2013,363.7556698,375.2150448,352.153609
1,Deaths,102,United States of America,2,Female,13,40-44 years,477,Brain and central nervous system cancer,1,Number,2013,242.9318563,251.7747791,235.8314171
1,Deaths,102,United States of America,1,Male,14,45-49 years,477,Brain and central nervous system cancer,1,Number,2013,542.5055287,556.8471983,527.6690762
1,Deaths,102,United States of America,2,Female,14,45-49 years,477,Brain and central nervous system cancer,1,Number,2013,362.835903,371.8160388,353.7608961
1,Deaths,102,United States of America,1,Male,22,All ages,477,Brain and central nervous system cancer,1,Number,2013,10301.25739,10537.3629,9881.354256
1,Deaths,102,United States of America,2,Female,22,All ages,477,Brain and central nervous system cancer,1,Number,2013,8295.184108,8649.232882,7629.515955
1,Deaths,102,United States of America,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2016,2.580040024,2.725907351,2.425418819
1,Deaths,102,United States of America,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2016,2.709253847,2.854028507,2.571195301
1,Deaths,102,United States of America,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2016,4.413345908,4.674192712,4.187406394
1,Deaths,102,United States of America,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2016,3.597171249,3.803596584,3.420304951
1,Deaths,102,United States of America,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2016,6.84188579,7.222531467,6.499703633
1,Deaths,102,United States of America,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2016,5.923624722,6.320713823,5.558813106
1,Deaths,102,United States of America,1,Male,22,All ages,1008,Eye cancer,1,Number,2016,227.7776642,239.4898403,211.6717259
